sample_id,image_path,label,defect_type,mask_path,image_score,patch_grid_h,patch_grid_w,inference_time_sec,memory_bank_size,heatmap_npy,heatmap_png,overlay_path,side_by_side_path
broken_large__000,data\mvtec\bottle\test\broken_large\000.png,1,broken_large,data\mvtec\bottle\ground_truth\broken_large\000_mask.png,0.9308678507804871,16,16,0.08513730000049691,5350,outputs\bottle_dinov2\heatmaps\broken_large__000.npy,outputs\bottle_dinov2\heatmaps\broken_large__000.png,outputs\bottle_dinov2\overlays\broken_large__000.png,outputs\bottle_dinov2\side_by_side\broken_large__000.png
broken_large__001,data\mvtec\bottle\test\broken_large\001.png,1,broken_large,data\mvtec\bottle\ground_truth\broken_large\001_mask.png,0.9173886179924011,16,16,0.05819119999796385,5350,outputs\bottle_dinov2\heatmaps\broken_large__001.npy,outputs\bottle_dinov2\heatmaps\broken_large__001.png,outputs\bottle_dinov2\overlays\broken_large__001.png,outputs\bottle_dinov2\side_by_side\broken_large__001.png
broken_large__002,data\mvtec\bottle\test\broken_large\002.png,1,broken_large,data\mvtec\bottle\ground_truth\broken_large\002_mask.png,0.9751092791557312,16,16,0.059805900000355905,5350,outputs\bottle_dinov2\heatmaps\broken_large__002.npy,outputs\bottle_dinov2\heatmaps\broken_large__002.png,outputs\bottle_dinov2\overlays\broken_large__002.png,outputs\bottle_dinov2\side_by_side\broken_large__002.png
broken_large__003,data\mvtec\bottle\test\broken_large\003.png,1,broken_large,data\mvtec\bottle\ground_truth\broken_large\003_mask.png,0.892636239528656,16,16,0.055709700001898455,5350,outputs\bottle_dinov2\heatmaps\broken_large__003.npy,outputs\bottle_dinov2\heatmaps\broken_large__003.png,outputs\bottle_dinov2\overlays\broken_large__003.png,outputs\bottle_dinov2\side_by_side\broken_large__003.png
broken_large__004,data\mvtec\bottle\test\broken_large\004.png,1,broken_large,data\mvtec\bottle\ground_truth\broken_large\004_mask.png,0.9085119366645813,16,16,0.05872749999980442,5350,outputs\bottle_dinov2\heatmaps\broken_large__004.npy,outputs\bottle_dinov2\heatmaps\broken_large__004.png,outputs\bottle_dinov2\overlays\broken_large__004.png,outputs\bottle_dinov2\side_by_side\broken_large__004.png
broken_large__005,data\mvtec\bottle\test\broken_large\005.png,1,broken_large,data\mvtec\bottle\ground_truth\broken_large\005_mask.png,0.903528094291687,16,16,0.05767849999756436,5350,outputs\bottle_dinov2\heatmaps\broken_large__005.npy,outputs\bottle_dinov2\heatmaps\broken_large__005.png,outputs\bottle_dinov2\overlays\broken_large__005.png,outputs\bottle_dinov2\side_by_side\broken_large__005.png
broken_large__006,data\mvtec\bottle\test\broken_large\006.png,1,broken_large,data\mvtec\bottle\ground_truth\broken_large\006_mask.png,0.8811531066894531,16,16,0.06109689999721013,5350,outputs\bottle_dinov2\heatmaps\broken_large__006.npy,outputs\bottle_dinov2\heatmaps\broken_large__006.png,outputs\bottle_dinov2\overlays\broken_large__006.png,outputs\bottle_dinov2\side_by_side\broken_large__006.png
broken_large__007,data\mvtec\bottle\test\broken_large\007.png,1,broken_large,data\mvtec\bottle\ground_truth\broken_large\007_mask.png,0.9153042435646057,16,16,0.05565560000104597,5350,outputs\bottle_dinov2\heatmaps\broken_large__007.npy,outputs\bottle_dinov2\heatmaps\broken_large__007.png,outputs\bottle_dinov2\overlays\broken_large__007.png,outputs\bottle_dinov2\side_by_side\broken_large__007.png
broken_large__008,data\mvtec\bottle\test\broken_large\008.png,1,broken_large,data\mvtec\bottle\ground_truth\broken_large\008_mask.png,0.9306668639183044,16,16,0.07019159999981639,5350,outputs\bottle_dinov2\heatmaps\broken_large__008.npy,outputs\bottle_dinov2\heatmaps\broken_large__008.png,outputs\bottle_dinov2\overlays\broken_large__008.png,outputs\bottle_dinov2\side_by_side\broken_large__008.png
broken_large__009,data\mvtec\bottle\test\broken_large\009.png,1,broken_large,data\mvtec\bottle\ground_truth\broken_large\009_mask.png,0.96742844581604,16,16,0.04682250000041677,5350,outputs\bottle_dinov2\heatmaps\broken_large__009.npy,outputs\bottle_dinov2\heatmaps\broken_large__009.png,outputs\bottle_dinov2\overlays\broken_large__009.png,outputs\bottle_dinov2\side_by_side\broken_large__009.png
